NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
180,서울특별시 노원구 공릉동,5**,8m미만,20.0,전세,202212,19,9000,0,2011.0,동일로186길,202302~202402,신규,-,,,단독다가구
181,서울특별시 노원구 공릉동,5**,8m미만,18.0,전세,202212,19,9000,0,2016.0,동일로186길,202302~202402,신규,-,,,단독다가구
182,서울특별시 노원구 공릉동,5**,8m미만,30.0,전세,202212,19,17000,0,2011.0,동일로182길,202302~202502,신규,-,,,단독다가구
183,서울특별시 노원구 공릉동,5**,12m미만,18.0,전세,202212,19,9000,0,2013.0,동일로182길,202301~202402,신규,-,,,단독다가구
184,서울특별시 노원구 공릉동,5**,8m미만,30.0,전세,202212,19,10000,0,1995.0,동일로186길,202301~202501,신규,-,,,단독다가구
185,서울특별시 노원구 공릉동,3**,8m미만,16.0,전세,202212,19,7500,0,2010.0,동일로196길,202302~202402,신규,-,,,단독다가구
186,서울특별시 노원구 공릉동,4**,8m미만,15.0,전세,202212,19,9000,0,2014.0,공릉로43가길,202302~202402,신규,-,,,단독다가구
187,서울특별시 노원구 공릉동,4**,8m미만,20.0,전세,202212,19,8000,0,2015.0,공릉로41가길,-,-,-,,,단독다가구
188,서울특별시 노원구 상계동,6***,8m미만,17.5,전세,202212,19,8500,0,,,202301~202401,신규,-,,,단독다가구
189,서울특별시 노원구 공릉동,5**,8m미만,41.4,전세,202212,19,6600,0,1991.0,동일로176길,-,-,-,,,단독다가구
190,서울특별시 노원구 공릉동,4**,8m미만,20.0,전세,202212,19,7000,0,2013.0,공릉로41마길,202302~202502,신규,-,,,단독다가구
191,서울특별시 노원구 상계동,1**,8m미만,20.0,전세,202212,19,6000,0,1992.0,한글비석로24바길,-,-,-,,,단독다가구
192,서울특별시 노원구 상계동,1**,8m미만,13.0,전세,202212,19,8500,0,2017.0,수락산로,202212~202312,신규,-,,,단독다가구
193,서울특별시 노원구 상계동,1**,8m미만,41.55,전세,202212,19,6000,0,1992.0,한글비석로24바길,-,-,-,,,단독다가구
194,서울특별시 노원구 상계동,1**,8m미만,41.55,전세,202212,19,11000,0,1992.0,한글비석로24바길,-,-,-,,,단독다가구
195,서울특별시 노원구 상계동,1**,8m미만,41.55,전세,202212,19,9000,0,1992.0,한글비석로24바길,-,갱신,-,"2,000",30.0,단독다가구
